"LIBELLE_EC","LIBELLE_DIPLOME","NUM_SEMESTRE"
"Economie generale - FLZEG501","Licence Administration publique",5
"Institutions administratives","Licence Administration publique",5
"Techniques d'expression ecrite - FLZTE501","Licence Administration publique",5
"ang. - FLZAN501","Licence Administration publique",5
"Droit de l'Union Europeenne - FLZUE601","Licence Administration publique",6
"Finances locales - FLZFL601","Licence Administration publique",6
"Finances sociales - FLZFS601","Licence Administration publique",6
"Politiques economiques de l'Union Europeenne","Licence Administration publique",6
"Stage decouverte de l'administration","Licence Administration publique",6
"Techniques d'expression orale - FLZTE601","Licence Administration publique",6
"ang. - FLZAN501","Licence Administration publique",6
"ang. SSA DA-A2 SI","Licence Administration économique et sociale",1
"ang. SSA DA-B1 SI","Licence Administration économique et sociale",1
"ang. SSA DA-B2 SI","Licence Administration économique et sociale",1
"ang. SSA DA-C1 SI","Licence Administration économique et sociale",1
"histoire contemporaine du XIXe siecle","Licence Administration économique et sociale",1
"introduction a la gestion","Licence Administration économique et sociale",1
"introduction a la macroeconomie","Licence Administration économique et sociale",1
"introduction a la psychologie sociale","Licence Administration économique et sociale",1
"introduction au droit civil 1","Licence Administration économique et sociale",1
"ang. SSA DA-A2 SP","Licence Administration économique et sociale",2
"ang. SSA DA-B1 SP","Licence Administration économique et sociale",2
"ang. SSA DA-B2 SP","Licence Administration économique et sociale",2
"ang. SSA DA-C1 SP","Licence Administration économique et sociale",2
"droit constitutionnel","Licence Administration économique et sociale",2
"initiation a la sociologie: questions de societe","Licence Administration économique et sociale",2
"introduction a la comptabilite","Licence Administration économique et sociale",2
"introduction au droit civil 2","Licence Administration économique et sociale",2
"macroeconomie","Licence Administration économique et sociale",2
"Comptabilite financiere","Licence Administration économique et sociale",3
"Culture et langue esp.es","Licence Administration économique et sociale",3
"Droit administratif: services publics et responsabilites","Licence Administration économique et sociale",3
"Droit des obligations","Licence Administration économique et sociale",3
"Droit des relations internationales","Licence Administration économique et sociale",3
"Finances publiques","Licence Administration économique et sociale",3
"Introduction a la psychologie du travail","Licence Administration économique et sociale",3
"Management strategique des organisations","Licence Administration économique et sociale",3
"Microeconomie 1: l'equilibre du consommateur","Licence Administration économique et sociale",3
"Prepro: Initiation aux techniques de recherche","Licence Administration économique et sociale",3
"Psychologie: les methodes","Licence Administration économique et sociale",3
"Statistiques inferentielles 1","Licence Administration économique et sociale",3
"ang. SSA DA-A2 SI","Licence Administration économique et sociale",3
"ang. SSA DA-B1 SI","Licence Administration économique et sociale",3
"ang. SSA DA-B2 SI","Licence Administration économique et sociale",3
"ang. SSA DA-C1 SI","Licence Administration économique et sociale",3
"Droit des institutions europeennes","Licence Administration économique et sociale",4
"Gestion des ressources humaines: introduction","Licence Administration économique et sociale",4
"Histoire des conflits internationaux et politico-sociaux du","Licence Administration économique et sociale",4
"Les fondements du marketing","Licence Administration économique et sociale",4
"Microeconomie 2: producteurs et marches","Licence Administration économique et sociale",4
"Preparation d'entretiens professionnels","Licence Administration économique et sociale",4
"Sociologies: emploi ville insertion","Licence Administration économique et sociale",4
"analyse et diagnostic financier","Licence Administration économique et sociale",4
"ang. SSA DA-A2 SP","Licence Administration économique et sociale",4
"ang. SSA DA-B1 SP","Licence Administration économique et sociale",4
"ang. SSA DA-B2 SP","Licence Administration économique et sociale",4
"ang. SSA DA-C1 SP","Licence Administration économique et sociale",4
"culture et langue esp.es","Licence Administration économique et sociale",4
"economie de la protection sociale","Licence Administration économique et sociale",4
"histoire politique et sociale de la France au XXe siecle","Licence Administration économique et sociale",4
"Culture et langue esp.e 3","Licence Administration économique et sociale",5
"Droit du travail","Licence Administration économique et sociale",5
"Droit social","Licence Administration économique et sociale",5
"Economie internationale","Licence Administration économique et sociale",5
"GRH: la strategie RH (RH)","Licence Administration économique et sociale",5
"Histoire de l'economie sociale","Licence Administration économique et sociale",5
"Psychologie du travail","Licence Administration économique et sociale",5
"Sociologie du travail et des organisations","Licence Administration économique et sociale",5
"Statistiques inferentielles 2","Licence Administration économique et sociale",5
"Strategic marketing:consumers","Licence Administration économique et sociale",5
"ang. SSA DA-A2 SI","Licence Administration économique et sociale",5
"ang. SSA DA-B1 SI","Licence Administration économique et sociale",5
"ang. SSA DA-B2 SI","Licence Administration économique et sociale",5
"ang. SSA DA-C1 SI","Licence Administration économique et sociale",5
"ang. economique et commercial","Licence Administration économique et sociale",5
"comptabilite de gestion","Licence Administration économique et sociale",5
"droit des societes","Licence Administration économique et sociale",5
"droit du commerce international","Licence Administration économique et sociale",5
"economie du travail","Licence Administration économique et sociale",5
"finance d'entreprise","Licence Administration économique et sociale",5
"psychologie sociale: interaction et communication dans les g","Licence Administration économique et sociale",5
"regulation et politique publique","Licence Administration économique et sociale",5
"Culture et langue esp.e 4","Licence Administration économique et sociale",6
"Droit de l'entreprise","Licence Administration économique et sociale",6
"Droit du travail approfondi","Licence Administration économique et sociale",6
"Economie industrielle","Licence Administration économique et sociale",6
"Finance durable.Economie sociale","Licence Administration économique et sociale",6
"GRH: dynamique economique des RH","Licence Administration économique et sociale",6
"Mutations de la societe et du travail","Licence Administration économique et sociale",6
"Sociologie des professions","Licence Administration économique et sociale",6
"Specificites comptables de l'Economie Sociales: assoc mutuel","Licence Administration économique et sociale",6
"Strategic marketing:brands","Licence Administration économique et sociale",6
"Systeme monetaire et financier","Licence Administration économique et sociale",6
"ang. SSA DA-A2 SP","Licence Administration économique et sociale",6
"ang. SSA DA-B1 SP","Licence Administration économique et sociale",6
"ang. SSA DA-B2 SP","Licence Administration économique et sociale",6
"ang. SSA DA-C1 SP","Licence Administration économique et sociale",6
"ang. economique et commercial","Licence Administration économique et sociale",6
"controle de gestion","Licence Administration économique et sociale",6
"economie de la protection sociale","Licence Administration économique et sociale",6
"finance de marche","Licence Administration économique et sociale",6
"histoire culturelle de la mondialisation","Licence Administration économique et sociale",6
"memoire de stage","Licence Administration économique et sociale",6
"Analyse de spectacles","Licence Arts du spectacle",1
"Dramaturgie / mise en scene / mise en jeu","Licence Arts du spectacle",1
"Methodologie appliquees aux Arts du spectacle 1","Licence Arts du spectacle",1
"Mises en scene filmiques","Licence Arts du spectacle",1
" Initiation au jeu de l'acteur ","Licence Arts du spectacle",2
" Scenario 1 : Techniques de l'adaptation ","Licence Arts du spectacle",2
"Analyse de films en salles","Licence Arts du spectacle",2
"Decoupage et storyboard","Licence Arts du spectacle",2
"Esthetique du theatre","Licence Arts du spectacle",2
"Etude d'un cineaste","Licence Arts du spectacle",2
"Methodologie appliquee aux Arts du spectacle 2","Licence Arts du spectacle",2
"Photo prise de vue prise de son ","Licence Arts du spectacle",2
" Eclairage cadre son ","Licence Arts du spectacle",3
"Dramaturgie mise en scene 1","Licence Arts du spectacle",3
"Ecriture dramatique","Licence Arts du spectacle",3
"Hist du th 3 : invent° théo, analyse de mise en sc. moderne ","Licence Arts du spectacle",3
"Histoire du cinema 3 + Analyse d'un genre","Licence Arts du spectacle",3
"Initiation a l'elaboration de projets culturels","Licence Arts du spectacle",3
"Interpretation : travail de l'acteur 1","Licence Arts du spectacle",3
"L'acteur au cinema","Licence Arts du spectacle",3
"Le recit filmique","Licence Arts du spectacle",3
"Montage 1","Licence Arts du spectacle",3
"Regie 1","Licence Arts du spectacle",3
"Scenario 2","Licence Arts du spectacle",3
"Scripte","Licence Arts du spectacle",3
"Stage en milieu professionnel","Licence Arts du spectacle",3
"Theatre extra-europeen","Licence Arts du spectacle",3
"Cinema et autres arts","Licence Arts du spectacle",4
"Cinema et multimedia","Licence Arts du spectacle",4
"Critique du cinema 1 : Pratique de la critique cine","Licence Arts du spectacle",4
"Dramaturgie mise en scene 2","Licence Arts du spectacle",4
"Hist cinema 4 + Analyse pratiques documentaires","Licence Arts du spectacle",4
"Initiation au metier de la communication autour du spectacle","Licence Arts du spectacle",4
"Initiat° a la politique et a l'economie du spectacle vivant","Licence Arts du spectacle",4
"Interpretation : travail de l'acteur 2","Licence Arts du spectacle",4
"Pratique de la critique de theatre","Licence Arts du spectacle",4
"Regie 2","Licence Arts du spectacle",4
"Réalisation 1","Licence Arts du spectacle",4
"Scenario 3","Licence Arts du spectacle",4
"Scenographie","Licence Arts du spectacle",4
"hist theatre 4 : la m en sc apres 1945 + Theories et analyse","Licence Arts du spectacle",4
"Analyses et interpretations","Licence Arts du spectacle",5
"Cinemas extra-europeens","Licence Arts du spectacle",5
"Dramaturgies modernes et contemporaines 1","Licence Arts du spectacle",5
"Economie du Cinema et de l'audiovisuel","Licence Arts du spectacle",5
"Ecriture dramatique et ecriture scenique","Licence Arts du spectacle",5
"Histoire du theatre 5","Licence Arts du spectacle",5
"Images medias numerique","Licence Arts du spectacle",5
"Le cinema classique francais","Licence Arts du spectacle",5
"Le cinema classique hollywoodien","Licence Arts du spectacle",5
"Marketing et communication de l'entreprise culturelle","Licence Arts du spectacle",5
"Mise en espace 1: textes contemporains","Licence Arts du spectacle",5
"Photographie numerique","Licence Arts du spectacle",5
"Politique et economie du spectacle vivant","Licence Arts du spectacle",5
"Pratique de la scenographie","Licence Arts du spectacle",5
"Programmation 1 ","Licence Arts du spectacle",5
"Realisation  (Archives filmiques) 1 ","Licence Arts du spectacle",5
"Realisation 2","Licence Arts du spectacle",5
"Scenario 4 : Ecrire pour la television ","Licence Arts du spectacle",5
"Sociologie du cinema et de l'audiovisuel","Licence Arts du spectacle",5
"Sociologie du spectacle","Licence Arts du spectacle",5
"Theatre et autres arts 1","Licence Arts du spectacle",5
"Theories et esthetiques du cinema","Licence Arts du spectacle",5
"Approches culturelles du cinema","Licence Arts du spectacle",6
"Cinema et animation culturelle","Licence Arts du spectacle",6
"Cinemas contemporains","Licence Arts du spectacle",6
"Critique du cinema 2 : Pratique de la critique","Licence Arts du spectacle",6
"Dramaturgie moderne et contemporaine 2","Licence Arts du spectacle",6
"Droit du cinema et des medias","Licence Arts du spectacle",6
"Histoire du theatre 6","Licence Arts du spectacle",6
"Jeu et dramaturgie","Licence Arts du spectacle",6
"La notion de spectacle","Licence Arts du spectacle",6
"Le cinema d'animation","Licence Arts du spectacle",6
"Les metiers de la mediation culturelle","Licence Arts du spectacle",6
"Les series tele","Licence Arts du spectacle",6
"Mise en espace 2 ","Licence Arts du spectacle",6
"Modernites cinematographiques","Licence Arts du spectacle",6
"Montage/ecriture","Licence Arts du spectacle",6
"Pedagogie des genres du spectacle vivant","Licence Arts du spectacle",6
"Politiques et ideologies du cinema","Licence Arts du spectacle",6
"Programmation 2 ","Licence Arts du spectacle",6
"Programmation production et diffusion","Licence Arts du spectacle",6
"Realisation 3","Licence Arts du spectacle",6
"Realisation 3 (Archives filmiques) ","Licence Arts du spectacle",6
"Theatre et autres arts 2","Licence Arts du spectacle",6
"Histoire des grandes notions juridiques: l'Antiquite (CM+TD)","Licence Droit",1
"Introduction a la Common Law","Licence Droit",1
"Introduction au droit allemand","Licence Droit",1
"Introduction au droit economique","Licence Droit",1
"Introduction au droit espagnol","Licence Droit",1
"Introduction aux grands problemes economiques et financiers","Licence Droit",1
"Decouverte du monde du droit","Licence Droit",2
"Droit de la famille (CM)","Licence Droit",2
"Droit penal (CM)","Licence Droit",2
"Introduction a la Common Law 2","Licence Droit",2
"Introduction a la Science Politique (CM)","Licence Droit",2
"Introduction au droit allemand 2","Licence Droit",2
"Introduction au droit espagnol 2","Licence Droit",2
"Anglais s3","Licence Droit",3
"Droit civil: les contrats","Licence Droit",3
"Droit europeen Fondements instititions principes","Licence Droit",3
"Droit international public: les sources","Licence Droit",3
"Droit prive des biens","Licence Droit",3
"Finances publiques","Licence Droit",3
"Histoire du droit et des institutions publiques jusqu'a la R","Licence Droit",3
"Introduction historique au droit prive jusqu'a la Revolution","Licence Droit",3
"Anglais s4","Licence Droit",4
"Droit civil: la responsabilite","Licence Droit",4
"Histoire du droit et des institutions publiques depuis la re","Licence Droit",4
"Introduction historique au droit prive depuis la Revolution","Licence Droit",4
"Participation a une audience d'un proces civil (selon choix","Licence Droit",4
"Participation a une audience d'un proces penal (selon choix","Licence Droit",4
"Procedure civile","Licence Droit",4
"Procedure penale","Licence Droit",4
"Procédure civile (CM)","Licence Droit",4
"Procédure pénale (CM)","Licence Droit",4
"Anglais s5","Licence Droit",5
"Droit civil: regime general des obligations","Licence Droit",5
"Droit commun des societes","Licence Droit",5
"Droit de l'Union europeenne","Licence Droit",5
"Droit international public: les sujets","Licence Droit",5
"Droit public economique","Licence Droit",5
"Grands services publics","Licence Droit",5
"Histoire des idees politiques modernes","Licence Droit",5
"Histoire des systemes juridiques: Common Law","Licence Droit",5
"Histoire des systemes juridiques: Droit romain","Licence Droit",5
"Theorie du droit","Licence Droit",5
"1 projet personnel agree (associatif ou collaboratif)","Licence Droit",6
"Anglais s6","Licence Droit",6
"Droit civil: contrats speciaux","Licence Droit",6
"Droit de l'Union Europeenne : contentieux communautaires","Licence Droit",6
"Droit de l'Union europeenne","Licence Droit",6
"Droit des libertes fondamentales","Licence Droit",6
"Droit du financement des entreprises","Licence Droit",6
"Droit fiscal","Licence Droit",6
"Droit international public: reglement pacifique differends","Licence Droit",6
"Droit penal special","Licence Droit",6
"Droit public des biens","Licence Droit",6
"Ecrire le droit : Histoire de la codification","Licence Droit",6
"Protection sociale","Licence Droit",6
"Religion et Etat","Licence Droit",6
"Civilisation ru.","Licence Droit Français - Droit étrangers",1
"Droit penal allemand","Licence Droit Français - Droit étrangers",1
"Droit public esp. et analyse des textes juridiques 1","Licence Droit Français - Droit étrangers",1
"Histoire des structures politiques et institutionnelles","Licence Droit Français - Droit étrangers",1
"Histoire socio-politique et institutionnelle des pays de l'A","Licence Droit Français - Droit étrangers",1
"Introduction au Droit (CM + TD)","Licence Droit Français - Droit étrangers",1
"Introduction au droit it.","Licence Droit Français - Droit étrangers",1
"Introduction au droit public almd.","Licence Droit Français - Droit étrangers",1
"Introduction to UK law","Licence Droit Français - Droit étrangers",1
"Landmarks in English history","Licence Droit Français - Droit étrangers",1
"Langue allemande semestre 1","Licence Droit Français - Droit étrangers",1
"Langue espagnol semestre 1","Licence Droit Français - Droit étrangers",1
"Langues iatlien semestre 1","Licence Droit Français - Droit étrangers",1
"Pouvoirs institutions et vie politique en Italie 1","Licence Droit Français - Droit étrangers",1
"Relations internationales CM","Licence Droit Français - Droit étrangers",1
"Russe juridique sem1","Licence Droit Français - Droit étrangers",1
"Traduction allemande semestre 1","Licence Droit Français - Droit étrangers",1
"Traduction anglaise semestre 1","Licence Droit Français - Droit étrangers",1
"Traduction espagnol semestre 1","Licence Droit Français - Droit étrangers",1
"Traduction italien semestre 1","Licence Droit Français - Droit étrangers",1
"Traduction juridique russe semestre 1","Licence Droit Français - Droit étrangers",1
"UK Procedure","Licence Droit Français - Droit étrangers",1
"anglais juridique semestre 1","Licence Droit Français - Droit étrangers",1
"Anglais juridique semestre 2","Licence Droit Français - Droit étrangers",2
"Droit de la famille (CM)","Licence Droit Français - Droit étrangers",2
"Droit de la famille (CM+ TD)","Licence Droit Français - Droit étrangers",2
"Droit penal (CM + TD)","Licence Droit Français - Droit étrangers",2
"Droit public esp. et Analyse des textes juridiques 2","Licence Droit Français - Droit étrangers",2
"From Empire to Commonwealth","Licence Droit Français - Droit étrangers",2
"Histoire des structures politiques et institutionnelles 2","Licence Droit Français - Droit étrangers",2
"Histoire socio-politique et institutionnelle de l'Espagne","Licence Droit Français - Droit étrangers",2
"Introduction au droit constitutionnel","Licence Droit Français - Droit étrangers",2
"Introduction au droit prive almd. (methodologie)","Licence Droit Français - Droit étrangers",2
"Introduction au droit ru.","Licence Droit Français - Droit étrangers",2
"Langue allemande semestre 2","Licence Droit Français - Droit étrangers",2
"Langue espagnol semestre 2","Licence Droit Français - Droit étrangers",2
"Langues iatlien semestre 2","Licence Droit Français - Droit étrangers",2
"Pouvoirs institutions et vie politique en Italie 2","Licence Droit Français - Droit étrangers",2
"Russe juridique semestre 2","Licence Droit Français - Droit étrangers",2
"Traduction allemande semestre 2","Licence Droit Français - Droit étrangers",2
"Traduction espagnol  (theme-version) semestre 2","Licence Droit Français - Droit étrangers",2
"Traduction italien semestre 2","Licence Droit Français - Droit étrangers",2
"Traduction juridique russe semestre 2","Licence Droit Français - Droit étrangers",2
"Traductionanglais semestre 2","Licence Droit Français - Droit étrangers",2
"UK Constitutional law","Licence Droit Français - Droit étrangers",2
"UK Politics","Licence Droit Français - Droit étrangers",2
"Droit allemand des obligations","Licence Droit Français - Droit étrangers",3
"Droit penal allemand","Licence Droit Français - Droit étrangers",3
"Droit prive et penal espagnol","Licence Droit Français - Droit étrangers",3
"Droit public administratif","Licence Droit Français - Droit étrangers",3
"Droit public allemand","Licence Droit Français - Droit étrangers",3
"Grands principes du droit ru. 1","Licence Droit Français - Droit étrangers",3
"Histoire socio-politique et institutionnelle des pays de l'A","Licence Droit Français - Droit étrangers",3
"Introduction au droit civil italien","Licence Droit Français - Droit étrangers",3
"Introduction au droit processuel","Licence Droit Français - Droit étrangers",3
"Introduction to US law","Licence Droit Français - Droit étrangers",3
"Langues allemand (orale) semestre 3","Licence Droit Français - Droit étrangers",3
"Langues espagnol semestre 3","Licence Droit Français - Droit étrangers",3
"Langues italien semestre 3","Licence Droit Français - Droit étrangers",3
"Problemes socio-economiques","Licence Droit Français - Droit étrangers",3
"Russe juridique semestre 3","Licence Droit Français - Droit étrangers",3
"The Making of the US nation","Licence Droit Français - Droit étrangers",3
"US Procedure","Licence Droit Français - Droit étrangers",3
"ang. juridique semestre 3","Licence Droit Français - Droit étrangers",3
"Droit allemand des obligations","Licence Droit Français - Droit étrangers",4
"Droit de la famille","Licence Droit Français - Droit étrangers",4
"Droit italien des obligations","Licence Droit Français - Droit étrangers",4
"Droit pEnal allemand","Licence Droit Français - Droit étrangers",4
"Droit prive et penal espagnol","Licence Droit Français - Droit étrangers",4
"Droit romain","Licence Droit Français - Droit étrangers",4
"Grands principes du droit ru. 2","Licence Droit Français - Droit étrangers",4
"Histoire socio-politique et institutionnelle de l'Espagne","Licence Droit Français - Droit étrangers",4
"Introduction au droit penal","Licence Droit Français - Droit étrangers",4
"Langues allemand (orale) semestre 4","Licence Droit Français - Droit étrangers",4
"Langues espagnol semestre 4","Licence Droit Français - Droit étrangers",4
"Langues italien semestre 4","Licence Droit Français - Droit étrangers",4
"Minorities in the US","Licence Droit Français - Droit étrangers",4
"Problemes socio-economiques de l'Allemagne","Licence Droit Français - Droit étrangers",4
"Russe juridique sem4","Licence Droit Français - Droit étrangers",4
"Traduction allemand semestre 4","Licence Droit Français - Droit étrangers",4
"Traduction anglais semestre 4","Licence Droit Français - Droit étrangers",4
"Traduction espagnol semestre 4","Licence Droit Français - Droit étrangers",4
"Traduction italien semestre 4","Licence Droit Français - Droit étrangers",4
"Traduction juridique francais-ru. sem4","Licence Droit Français - Droit étrangers",4
"US Constitution","Licence Droit Français - Droit étrangers",4
"US Politics","Licence Droit Français - Droit étrangers",4
"ang. juridique sem4","Licence Droit Français - Droit étrangers",4
"Administrative law","Licence Droit Français - Droit étrangers",5
"Contract law","Licence Droit Français - Droit étrangers",5
"Criminal law","Licence Droit Français - Droit étrangers",5
"Droit commercial","Licence Droit Français - Droit étrangers",5
"Droit commercial 1","Licence Droit Français - Droit étrangers",5
"Droit commercial esp.","Licence Droit Français - Droit étrangers",5
"Droit constitutionnel esp. et latino-americain","Licence Droit Français - Droit étrangers",5
"Droit de l'integration latino-americaine","Licence Droit Français - Droit étrangers",5
"Droit de la famille","Licence Droit Français - Droit étrangers",5
"Droit des biens","Licence Droit Français - Droit étrangers",5
"Droit du travail allemand","Licence Droit Français - Droit étrangers",5
"Droit prive russe","Licence Droit Français - Droit étrangers",5
"Droit processuel","Licence Droit Français - Droit étrangers",5
"Economie et droit","Licence Droit Français - Droit étrangers",5
"Langues allemand (orale) semestre 5","Licence Droit Français - Droit étrangers",5
"Langues italien semestre 5","Licence Droit Français - Droit étrangers",5
"Politique droit et justice en Russie","Licence Droit Français - Droit étrangers",5
"Theme juridique espagnol semestre 5","Licence Droit Français - Droit étrangers",5
"Tort law","Licence Droit Français - Droit étrangers",5
"ang. juridique sem5","Licence Droit Français - Droit étrangers",5
"Contrats speciaux","Licence Droit Français - Droit étrangers",6
"Criminal law","Licence Droit Français - Droit étrangers",6
"Droit commercial 2","Licence Droit Français - Droit étrangers",6
"Droit compare anglo-saxon","Licence Droit Français - Droit étrangers",6
"Droit de l'environnement et responsabilites civiles","Licence Droit Français - Droit étrangers",6
"Droit de la concurrence","Licence Droit Français - Droit étrangers",6
"Droit du travail esp.","Licence Droit Français - Droit étrangers",6
"Droit et Civilisation hispaniques","Licence Droit Français - Droit étrangers",6
"Droit international public: reglement pacifique differends","Licence Droit Français - Droit étrangers",6
"Droit prive/contrat esp.","Licence Droit Français - Droit étrangers",6
"Droit public ru.","Licence Droit Français - Droit étrangers",6
"Droit ru. des affaires","Licence Droit Français - Droit étrangers",6
"Droits de l'homme et libertes fondamentales","Licence Droit Français - Droit étrangers",6
"Economie et droit 2","Licence Droit Français - Droit étrangers",6
"Equity and trusts","Licence Droit Français - Droit étrangers",6
"Langues allemand  (orale) semestre 6","Licence Droit Français - Droit étrangers",6
"Langues italien semestre 6","Licence Droit Français - Droit étrangers",6
"Property law","Licence Droit Français - Droit étrangers",6
"Tort law","Licence Droit Français - Droit étrangers",6
"Traduction (methodologie et preparation aux epreuves de ru.","Licence Droit Français - Droit étrangers",6
"Traduction allemand (thème-version) semestre 6","Licence Droit Français - Droit étrangers",6
"Traduction anglais (thème-version) semestre 6","Licence Droit Français - Droit étrangers",6
"Traduction espagnol (version juridique) semestre 6","Licence Droit Français - Droit étrangers",6
"Traduction italien semestre 6","Licence Droit Français - Droit étrangers",6
"ang. juridique sem6","Licence Droit Français - Droit étrangers",6
"Approfondissement Anglais","Licence Economie et Gestion",1
"Business English 1","Licence Economie et Gestion",1
"Civilisation chinoise 1","Licence Economie et Gestion",1
"Communiquer à l'oral en anglais 1","Licence Economie et Gestion",1
"Compréhension orale chinoise 1","Licence Economie et Gestion",1
"Droit 1","Licence Economie et Gestion",1
"Expression écrite chinoise 1","Licence Economie et Gestion",1
"Expression écrite et orale 1","Licence Economie et Gestion",1
"Grammaire espagnole 1","Licence Economie et Gestion",1
"Grammaire et pinyin","Licence Economie et Gestion",1
"Histoire 1","Licence Economie et Gestion",1
"Histoire économique de l'Amérique latine 1","Licence Economie et Gestion",1
"Histoire économique de l'Espagne 1","Licence Economie et Gestion",1
"Histoire économique et sociale GB 1","Licence Economie et Gestion",1
"Histoire économique et sociale de l'Allemagne 1","Licence Economie et Gestion",1
"Introduction au Droit (CM)","Licence Economie et Gestion",1
"Introduction aux institutions politiques (CM+TD)","Licence Economie et Gestion",1
"Introduction à l'analyse économique","Licence Economie et Gestion",1
"Introduction à la gestion et aux organisations","Licence Economie et Gestion",1
"Laboratoire de langue 1","Licence Economie et Gestion",1
"Langue orale 1 : allemand","Licence Economie et Gestion",1
"Mathématiques : Analyse 1","Licence Economie et Gestion",1
"Mathématiques : mise à niveau","Licence Economie et Gestion",1
"Mathématiques avancées","Licence Economie et Gestion",1
"Sociologie 1","Licence Economie et Gestion",1
"Stage facultatif","Licence Economie et Gestion",1
"Statistique descriptive 1","Licence Economie et Gestion",1
"Techniques de travail 1 : allemand","Licence Economie et Gestion",1
"Terminologie économique 1","Licence Economie et Gestion",1
"Terminologie économique 1 (anglais)","Licence Economie et Gestion",1
"Thème journalistique 1","Licence Economie et Gestion",1
"Thème économique 1 (espagnol)","Licence Economie et Gestion",1
"Traduction spécialisée et grammaire 1","Licence Economie et Gestion",1
"Version journalistique 1","Licence Economie et Gestion",1
"Version économique 1 (espagnol)","Licence Economie et Gestion",1
"Acteurs économiques et comportements (Micro A)","Licence Economie et Gestion",2
"Appro. de l'ang. (S2)","Licence Economie et Gestion",2
"Business English 2","Licence Economie et Gestion",2
"C2i : Machines et logiciels : D1D3 (S2)","Licence Economie et Gestion",2
"Civilisation chinoise 2","Licence Economie et Gestion",2
"Communiquer à l'oral en anglais S2","Licence Economie et Gestion",2
"Compréhension orale chinoise 2","Licence Economie et Gestion",2
"Droit 2","Licence Economie et Gestion",2
"Droit constitutionnel (CM+ TD)","Licence Economie et Gestion",2
"Droit penal (CM)","Licence Economie et Gestion",2
"Expression écrite chinoise 2","Licence Economie et Gestion",2
"Expression écrite et orale 2","Licence Economie et Gestion",2
"Grammaire chinoise 2","Licence Economie et Gestion",2
"Grammaire espagnole 2","Licence Economie et Gestion",2
"Grandes fonctions macroéconomiques (Macro A)","Licence Economie et Gestion",2
"Histoire 2","Licence Economie et Gestion",2
"Histoire économique de l'Amérique latine 2","Licence Economie et Gestion",2
"Histoire économique de l'Espagne 2","Licence Economie et Gestion",2
"Histoire économique et sociale  de l'Allemagne 2","Licence Economie et Gestion",2
"Histoire économique et sociale GB 2","Licence Economie et Gestion",2
"Laboratoire de langue 2","Licence Economie et Gestion",2
"Langue orale 2 : allemand","Licence Economie et Gestion",2
"Mathématiques : Analyse 2","Licence Economie et Gestion",2
"Micro-Macro : soutien","Licence Economie et Gestion",2
"Micro-Macro renforcées","Licence Economie et Gestion",2
"Monnaie et intermédiation financière","Licence Economie et Gestion",2
"Sociologie 2","Licence Economie et Gestion",2
"Stage facultatif (S2)","Licence Economie et Gestion",2
"Techniques de travail 2 : allemand","Licence Economie et Gestion",2
"Terminologie économique 2","Licence Economie et Gestion",2
"Terminologie économique 2 (anglais)","Licence Economie et Gestion",2
"Thème journalistique 2","Licence Economie et Gestion",2
"Traduction spécialisée et grammaire 2","Licence Economie et Gestion",2
"Version journalistique 2","Licence Economie et Gestion",2
"Version économique 2 (espagnol)","Licence Economie et Gestion",2
"thème économique 2 (espagnol)","Licence Economie et Gestion",2
"Advanced Business English 1","Licence Economie et Gestion",3
"Appro. de l'ang. (S3)","Licence Economie et Gestion",3
"C2i : Web et travail collaboratif: D2D4D5 (S1)","Licence Economie et Gestion",3
"Chinese Economy 1","Licence Economie et Gestion",3
"Chinois des affaires 1","Licence Economie et Gestion",3
"Communiquer à l'oral en anglais S3","Licence Economie et Gestion",3
"Compréhension orale chinoise","Licence Economie et Gestion",3
"Comptabilité générale","Licence Economie et Gestion",3
"Droit administratif 1","Licence Economie et Gestion",3
"Droit civil : les contrats","Licence Economie et Gestion",3
"Expression écrite chinoise 3","Licence Economie et Gestion",3
"Expression écrite et orale 3","Licence Economie et Gestion",3
"Grammaire chinoise 3","Licence Economie et Gestion",3
"Grammaire espagnole 3","Licence Economie et Gestion",3
"Histoire des faits économiques contemporains","Licence Economie et Gestion",3
"Histoire économique de l'Amérique latine 3","Licence Economie et Gestion",3
"Histoire économique de l'Espagne 3","Licence Economie et Gestion",3
"Histoire économique et sociale US 1","Licence Economie et Gestion",3
"Histoire économique et sociale de l'Allemagne 3","Licence Economie et Gestion",3
"Information économique et sociale 1","Licence Economie et Gestion",3
"Internes Rechnungswesen / Comptabilité analytique","Licence Economie et Gestion",3
"Interprétariat français-allemand","Licence Economie et Gestion",3
"Introduction à la politique macroéconomique (Macro B)","Licence Economie et Gestion",3
"Langue orale 3","Licence Economie et Gestion",3
"Makrookonomie/Macroéconomie","Licence Economie et Gestion",3
"Marché et coordination (Micro B)","Licence Economie et Gestion",3
"Mathématiques : Algèbre linéaire","Licence Economie et Gestion",3
"Operations Management / Management des opérations","Licence Economie et Gestion",3
"Probabilités","Licence Economie et Gestion",3
"Statistik 2/ Statistique 2 (Université de Mayence)","Licence Economie et Gestion",3
"Terminologie économique 3 (anglais)","Licence Economie et Gestion",3
"Terminologie économique et techniques de travail 3","Licence Economie et Gestion",3
"Thème économique 1","Licence Economie et Gestion",3
"Traduction spécialisée 1 : thème économique (esp.)","Licence Economie et Gestion",3
"Traduction spécialisée 1 : version économique (esp.)","Licence Economie et Gestion",3
